comment_id;content;likes;dislikes;votes;avg;std;label;char-qty;word-qty;legibility-index
1489;MUITO MAIS LEGAL  RRSRSRRSRSRS;2.0;0.0;4;0.0;0.0;0;30;5;223.62
273;Canhão de guerra. ;2.0;4.0;3;1.0;0.0;1;18;4;190.91
2574;femi o que?;10.0;11.0;3;1.0;0.0;1;11;3;217.59
951;"Concordo plenamente Jaqueline!! Outro dia ouvi um relato de uma moça que se disse ""assediada sexualmente"" porque um cara passou por ele e mandou um ""oi gatinha"".";20.0;0.0;3;0.6666666666666666;0.5773502691896257;1;161;27;228.87
2520;Feminista é uma mulher encalhada que precisa descontar sua raiva. ;11.0;11.0;4;1.0;0.0;1;66;11;226.84
2614;pareceu um mal súbito!;3.0;2.0;4;1.0;0.0;1;22;4;223.62
2466;Sem noção de beleza mesmo...;10.0;2.0;3;0.3333333333333333;0.5773502691896257;0;28;5;226.84
2196;Sou capaz de jurar que esse energúmeno é usuário de drogas.;10.0;5.0;3;0.0;0.0;0;59;11;229.98
1750;Pessoas, fala sério, desnecessário essa denúncia de assédio. Assédio? Onde? Ela pode até não ter gostado, mas aí dizer que foi assédio. Ele só elogiou e brincou. Muito diferente da situação do Biel;130.0;6.0;5;0.6;0.5477225575051661;1;197;33;222.04
176;SOBERBANIA...;0.0;0.0;3;0.0;0.0;0;13;1;163.22
1003;Acredito que o galanteio, as cantadas fazem parte da sedução do homem junto à mulher e pode ocorrer o contrário também e isso na minha modesta opinião não deveria ser reprimido. Estupro é outra coisa, é sexo sem sem consentimento é abuso de poder e isso deve ser reprimido, combatido e punido. Também existem algumas mulheres que cedem por interesse, deixando até transparecer estar interessada e depois que conseguem o que queriam decidem denunciar. Enfim, há 2 lados desta  historia e por isso manifesto das próprias mulheres nos dois sentidos.;7.0;1.0;3;1.0;0.0;1;546;91;230.22
292;Grande b... O que esta mulher representa para o Brasil? Nada!!!;4.0;11.0;3;0.6666666666666666;0.5773502691896257;1;63;11;222.04
1331;Eu não tenho problemas, eu tenho soluções.;6.0;7.0;3;0.3333333333333333;0.5773502691896257;0;42;7;221.11
2784;Antigamente bastava a mulher dar um belo tapa na cara do sujeito abusado e pronto.. tudo resolvido.;5.0;0.0;6;0.6666666666666666;0.5163977794943223;1;99;17;230.25
663;maaassa!!!!!;6.0;0.0;3;0.0;0.0;0;12;1;163.22
1552;Extraterrestres existem ? Feminazi bonitas existem? Oh dúvida cruel...;54.0;16.0;5;1.0;0.0;1;70;9;217.59
1589;Depois se queixam q não existe mais homens. aff;3.0;0.0;3;1.0;0.0;1;47;9;225.47
1811;Essa ai gosta de um Homão!;3.0;9.0;3;0.6666666666666666;0.5773502691896257;1;26;6;228.65
764;Muito estranho os comentários;2.0;5.0;3;0.3333333333333333;0.5773502691896257;0;29;4;223.62
2204;Quero saber é quando esse preconceito e ataques contra os homens irão acabar. Nojo.;235.0;14.0;3;1.0;0.0;1;83;14;229.64
2469;Quero ver a igualdade de profissões na hora de rebocar uma parede. O feminismo acaba na hora que chega a conta do restaurante;36.0;27.0;4;1.0;0.0;1;125;23;229.81
4116;Gente ! Muita simpática  a jovem ! Que Deus te abençoe no seu trabalho !;1.0;0.0;3;0.0;0.0;0;72;15;226.84
1268;Percebam o detalhe: o argentino falou da mãe e da avó. Não falou de namorada e/ou esposa. Também, com esse tipo de pensamento vai ser difícil encontrar uma que aturre.;10.0;7.0;3;0.3333333333333333;0.5773502691896257;0;167;30;229.94
2749;Devia ser obrogado a pagar pelo atendimento em hospital de luxo!;;;3;0.3333333333333333;0.5773502691896257;0;64;11;229.98
3641;O ativismo judiciário no Brasil tem nome e endereço. Os ministros do stf. Esta corte em sua maioria foi escolhida pela esquerda e nunca foi levantado questionamentos da mídia tupiniquim mas a corte americana que eles dizem ser em sua maioria dos republicanos ficam sempre falando. Dois pesos, duas medidas. Hipócritas. Voces não enganam mais ninguém Estamos atentos;0.0;0.0;3;0.3333333333333333;0.5773502691896257;0;365;58;230.21
173;Jeferson, o cara é por demais grosseiro, não dá para levar na boa.;1.0;0.0;3;0.0;0.0;0;66;13;224.91
2276;Desigualdade por que? cada faz o que quer voces são louco ;6.0;0.0;3;0.3333333333333333;0.5773502691896257;0;58;12;227.87
161;Brigitte Macron     isso é coisa do capeta.....  Liga para isso não,   mim tornei  sua fã.    ;14.0;6.0;3;0.3333333333333333;0.5773502691896257;0;94;27;222.47
876;Terá este peruca de touro?;6.0;4.0;3;0.3333333333333333;0.5773502691896257;0;26;5;226.84
3202;VOCÊ GOSTOU DE TER DESCIDO TANTOS DEGRAUS ??  ACHO QUE VOCÊ QUASE CONSEGUIU , UM POUCO MAIS DE PREPARO ESPIRITUAL E PSICOLÓGICO CURARIA AS FERIDAS E UMA NOVA VIDA ESTARIA A SUA DISPOSIÇÃO.. SEJA FELIZ  ATÉ SOZINHA.;7.0;0.0;3;0.3333333333333333;0.5773502691896257;0;214;39;230.3
113;esquerdopatas franceses não cuidam de seu País vem querer mandar no Brasil acabou a sacanagem ;12.0;16.0;4;0.5;0.5773502691896257;-1;94;16;227.97
2172;no rj não gostam muito de mulher;107.0;12.0;3;0.6666666666666666;0.5773502691896257;1;32;7;229.64
2983;Perfeito seu comentário. Pra toda ação existe uma reação.Na minha visão as feministas estão banalizando o direito da mulher e enfraquecendo a causa;0.0;0.0;4;0.75;0.5;1;147;23;230.02
1595;"Afinal de contas, quando a cantada vira ""assédio""?  Eu não posso mais dizer para uma mulher que acho ela bonita e convidar ela para jantar?";80.0;2.0;3;0.6666666666666666;0.5773502691896257;1;139;26;230.22
3097;O maior apoio. Já passou da hora de as mulheres se liberarem. Ainda mais bonita como essa! Ah, meu Deus!;1.0;0.0;4;0.5;0.5773502691896257;-1;104;20;223.62
4095;Cúmulo do absurdo gente neste espaço defendendo o estuprador. ;5.0;0.0;3;0.0;0.0;0;62;9;225.47
2990;Por que? Oras, porque sabem que, se forem presos, saem na audiência de custódia, ou conseguem um habeas corpus depois de uma semana, ou ficam uns seis meses em cana e nada mais,;2.0;0.0;3;0.3333333333333333;0.5773502691896257;0;177;33;226.1
815;"Essas atrizes..tinham umas 40 para o mesmo papel no início de carreira, a maioria não quis dar para o diretor e hoje são anônimas...Essas rampeiras famosas que sentaram no colo de inúmeros diretores e ""jantaram"" com eles (foram jantadas, consensualmente) e agora vem ""denunciar"". Muitas o diretor mal insinuou e foram caíndo de boca...Covardes hipócritas!!!";16.0;4.0;3;1.0;0.0;1;357;55;230.09
1422;Ficar pregando feminismo é fácil, quero ver é trocar o pneu de uma carreta.;67.0;279.0;4;1.0;0.0;1;75;14;229.64
3150;Ah, isso não 'é nada. Ficamos casados tres anos e a minha ex já deve ter dado para uns cinquenta. Voce  está perdendo feio...;;;3;0.6666666666666666;0.5773502691896257;1;125;25;228.65
1004;O instinto animal de cortejar a fêmea é da natureza do homem. Por isso deveria ser permitido ao homem se casar com quantas mulheres ele quisesse.;14.0;11.0;3;1.0;0.0;1;145;26;229.13
2054;Foram em mulheres diferentes. A reportagem fala de duas agressões que ocorreram nesta semana na região. ;14.0;0.0;3;0.0;0.0;0;104;17;227.56
2702;Só os especialistas em direito penal online hoje.;;;6;0.3333333333333333;0.5163977794943223;0;49;8;230.14
